baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	logFC	logCPM	PValue	FDR
FBgn0003996	105.451377094145	4.50022968171893	0.202138812592163	22.2630657814273	8.42820079305343e-110	1.15321867422665e-106	4.47868672495532	2.22727789458239	2.04897134991967e-120	2.8035782270758e-117
FBgn0040384	1623.61803183487	0.174321897201416	0.0523747969348032	3.32835461717234	0.000873605880146032	0.00605894070965872	0.175359460539924	6.14864829407798	0.00109323171438163	0.00779504045081724
FBgn0024995	297.363609455094	0.482077539967606	0.121203791603956	3.97741302964214	6.96690915525489e-05	0.00072452829412629	0.483463103782983	3.7078024410598	6.82440884336414e-05	0.000769896206145368
FBgn0024992	1168.11911227871	0.280118232962045	0.0804882313505056	3.48023839338949	0.00050096780379231	0.0038883870540703	0.280956599707057	5.67540569760215	0.000578908389961859	0.00471917195079727
FBgn0000092	35.1448654924913	-0.69961540738208	0.219318049759583	-3.18995818241591	0.00142293381812952	0.00915302895234693	-0.695318764374195	0.706291962710723	0.00145453451058027	0.00990158602866938
FBgn0028746	526.984684452773	0.165028119269961	0.0552063475120154	2.98929609922199	0.00279621009293034	0.0159133097267301	0.166280703680654	4.52822130494859	0.00282147584491271	0.0171706356973734
FBgn0029639	2007.70065955628	-0.462117536413913	0.167289926935207	-2.76237514643004	0.00573825038180843	0.0283596295959552	-0.461457808430064	6.45550054670613	0.00627207726976524	0.0320736551467226
FBgn0029665	240.906158946675	0.277645328295635	0.0730638763575562	3.80003555980125	0.000144675326103703	0.00134926998385713	0.278807498987881	3.40671522915247	0.000202567217882353	0.00195583549685199
FBgn0028665	4904.20096014539	0.108533715433562	0.0310143142182685	3.4994717171477	0.000466181057587775	0.0036539133957248	0.109338021414335	7.74310702817139	0.00469632888247938	0.0256596908365017
FBgn0029688	5124.20073165572	-0.341185926426657	0.0415845614547604	-8.20462966280964	2.31302764237156e-16	2.01401625078498e-14	-0.340177874742178	7.80642695798437	2.78489227267316e-13	1.81453729167779e-11
FBgn0026083	3423.67125808531	-0.212733969523293	0.0548340571539054	-3.87959564848908	0.00010463025225694	0.00102889995494555	-0.211805984611052	7.22453135199216	0.000216510283017734	0.00206753289206766
FBgn0029706	1429.50693718266	-0.234643578919058	0.0906647239828577	-2.5880361028113	0.00965248633875273	0.042565153845568	-0.233498023815379	5.96609734263463	0.0101131762317581	0.0461917033608865
FBgn0029715	1419.0953465357	0.179732592113479	0.0497184017301214	3.61501146173389	0.000300334333898798	0.00253222029056574	0.180849713756033	5.95486018956761	0.000467417047266162	0.00393057109632598
FBgn0004368	2563.16957385428	-0.318916556472673	0.0705014173478042	-4.52354815647696	6.08114753044385e-06	8.81168397073997e-05	-0.318334235703702	6.8074168980322	8.68383801991541e-06	0.000131188959865536
FBgn0026751	416.786885887363	-0.216969375140571	0.0608201605385076	-3.56739234522736	0.000360551430349379	0.00294607815954379	-0.216017031025781	4.19383654535888	0.000623041316712107	0.00501048676025907
FBgn0029766	5427.71550471993	-0.760063883103742	0.221867757868734	-3.4257518550912	0.000613100229389277	0.00457342211611409	-0.759724875318174	7.8913155066257	0.000224475604825659	0.00212873994358432
FBgn0004687	4003.65821370707	-0.199700005943189	0.0450839869716978	-4.42951077216295	9.44470957505852e-06	0.0001296884337511	-0.198519049015973	7.45054860171957	5.58748794932913e-05	0.000655845092875912
FBgn0029785	18079.3271344127	0.190871994243769	0.0538788125072649	3.54261694646727	0.000396177715475792	0.00319107072325921	0.191988256280432	9.62474558344256	0.00098745899432357	0.0072087517131335
FBgn0029791	1084.48041818767	-1.0212213854148	0.0963576652279302	-10.598237130374	3.03649925200669e-26	4.92942200605424e-24	-1.01971617066343	5.56859080375787	1.36149888674552e-25	2.41489561800899e-23
FBgn0046687	293.392433553028	-0.240462850268905	0.085589468408405	-2.80949110609608	0.00496198901297306	0.0253201549100991	-0.23959075073889	3.69066870085751	0.00581618359154498	0.0304245802511294
FBgn0029828	3945.44043514934	0.450532698639955	0.103358376390787	4.35893745985848	1.30695452452035e-05	0.000171245012802407	0.451748914525477	7.42876372323394	1.26687233529421e-05	0.000181938898540806
FBgn0029830	154.127128358656	-0.274174281259675	0.089196198911306	-3.0738336902933	0.00211327204282109	0.0127074310564451	-0.273065082613732	2.77045678545532	0.0026057965108966	0.0161856802732605
