x	BH.Q	ADJ.P	PER	LAG	AMP	WT2U_ZT00	WT2U_ZT04	WT2U_ZT08	WT2U_ZT12	WT2U_ZT16	WT2U_ZT20	WT2U_ZT24	WT2U_ZT28	WT2U_ZT32	WT2U_ZT36	WT2U_ZT40	WT2U_ZT44
FBgn0264305	0.318210812061247	0.0324589646464646	24	12	131.36846847576	1065.5069370684	1185.54898132032	1147.07209174912	1265.09004428421	1243.76821390982	977.103425699265	999.504888813792	1111.20538421371	1480.72106137301	1259.2485844485	1136.27193027249	1014.7932789837
FBgn0263973	0.318210812061247	0.0324589646464646	24	10	127.93423337341	365.581098929005	615.399471219708	619.993310267933	556.908549166742	413.072983990531	355.928626066786	376.230865177074	556.10732670459	585.595899978025	514.954100723037	409.334823319791	456.022008189488
FBgn0001168	0.318210812061247	0.0324589646464646	24	12	127.387665976949	1357.04629444216	1658.86357462606	1971.4773653479	1677.44888954248	1773.30230351882	1736.56896539591	1383.66833247352	1769.24889966088	1833.12430832407	1846.402435376	1779.2651093985	1649.76063215893
FBgn0031002	0.318210812061247	0.0324589646464646	28	2	125.769359248774	829.498885861065	781.0143289156	686.722835487506	699.217172394461	561.378923176559	601.904778475997	881.649437071576	895.221776382889	681.8009406887	641.303663580854	651.647192304023	498.737993766732
FBgn0024315	0.318210812061247	0.0324589646464646	20	8	125.190336283334	3239.32619304182	3416.37206449176	3610.99645966677	3359.37994044646	3052.55476054677	3450.46731766655	3237.62524641837	3555.65537564478	3303.38830005461	3219.2594502933	3251.31275097771	3535.03642804105
FBgn0010808	0.318210812061247	0.0324589646464646	28	20	124.914162850621	1431.0880359974	1495.96371459732	1493.38988086336	1583.32350095092	1730.53924129954	1763.77370114624	1576.31666705214	1622.90486631757	1470.26399173054	1502.39186087237	1601.85783924933	1744.42849208688
FBgn0035498	0.318210812061247	0.0324589646464646	24	0	124.714689195139	2812.42927688738	2753.91263370819	2796.7273164811	2564.91683912007	2716.81922950601	3007.25683106746	2833.06374380327	2802.74055582332	2633.09013597262	2610.87037871742	2780.53443409406	2924.31328289614
FBgn0037963	0.318210812061247	0.0324589646464646	28	0	122.482351846232	1705.27386019416	1472.43373481539	1360.77550795864	1377.14407832178	1413.00075801166	1385.17446195418	1598.98117700256	1501.79256286104	1588.42887869039	1434.43915479757	1349.16065445149	1469.6608010765
FBgn0035383	0.318210812061247	0.0324589646464646	24	22	119.973208450372	1239.0422688385	1114.95904197453	1137.78063887044	1063.39278301658	1086.36375084734	1276.35551895287	1202.35225287011	1041.5658097262	1035.24989460401	1034.15524557575	1267.81293057821	1286.09751170403
FBgn0050431	0.318210812061247	0.0324589646464646	24	12	117.709273428515	949.816715888333	1189.16897820985	1228.16113505392	1315.51435960112	1133.67607500485	1042.84820376256	880.516211574055	1182.86349709216	1204.65442281194	1165.81361359566	1204.63863437875	994.012529243416
FBgn0036560	0.318210812061247	0.0324589646464646	20	18	114.649851898701	2294.13708600069	1639.85859095604	1404.69873974874	1664.00240545797	1810.60625141224	1718.43247489569	2046.60524852348	1556.29309941648	1679.40538457984	1778.44972930121	1737.72584614406	1594.34529951819
FBgn0260006	0.318210812061247	0.0324589646464646	28	6	113.078482965072	495.154146650678	759.294347578433	753.452360707079	646.551776396801	558.649366013626	548.628837631606	497.485993411854	750.896281430518	760.228963007186	669.971211456158	559.914652617135	507.97388254019
FBgn0000043	0.318210812061247	0.0324589646464646	28	8	111.44787026192	710.337958045598	946.629186611491	968.845131985448	906.517135363973	849.802130059815	898.889810417073	709.399161448338	926.509121442494	943.227681750318	1610.69148617907	929.441015318088	912.044016378977
FBgn0011361	0.318210812061247	0.0324589646464646	28	20	110.740034909129	2898.04004056063	2569.29279234228	2729.1531137271	2805.83301230085	2682.24483877552	3349.58308925908	2924.85500910249	2514.08956591857	2119.6480165276	2801.98736455277	2914.67163835319	3395.34361034249
FBgn0031970	0.318210812061247	0.0324589646464646	24	18	103.054418242878	552.99925724071	514.039558312932	591.274274097484	692.493930352207	601.41242823291	698.254884258407	453.290199008523	410.772562556748	530.173430872962	558.486303052201	709.629080596678	638.430811465284
FBgn0039483	0.318210812061247	0.0324589646464646	28	10	97.2625516973702	989.151391089555	936.67419516529	1114.97434544097	1178.80843807528	1018.12482177402	870.551544010482	883.915888066619	842.73977821839	1154.46048852811	1433.37739376515	1052.32800244581	953.605515859538
FBgn0038223	0.318210812061247	0.0324589646464646	20	12	97.0546105338506	1354.73249001856	1356.5938343505	1552.51730827311	1465.66676521147	1442.11603441628	1255.95196714012	1347.40511655283	1484.63498653803	1587.38317172615	1397.27751866292	1326.66022018867	1493.90500910683
FBgn0029131	0.318210812061247	0.0324589646464646	24	22	92.754794533508	806.360841625052	752.95935302176	724.73332453663	705.940414436715	835.244491857506	953.299281917728	750.195279359105	694.377206484135	632.652713369116	672.094733520995	789.246001834354	900.499155412154
FBgn0052112	0.318210812061247	0.0324589646464646	28	18	91.8709223168303	910.482040687111	908.619219271451	864.105117716751	1025.2944114438	1109.11006053845	1033.77995851245	863.517829111236	923.48131385608	837.611278361425	969.387822598212	1040.21238399659	1111.77011110501
FBgn0030240	0.318210812061247	0.0324589646464646	28	22	91.3587569981987	1100.21400342242	1005.45413606632	977.291907329698	856.092820047064	1046.33024579099	1288.82435617177	991.572310331143	1032.48238696696	795.782999791566	759.159138179323	1009.05793655576	1239.91806783674
