x	BH.Q	ADJ.P	PER	LAG	AMP	WAKED2_ZT00	WAKED2_ZT04	WAKED2_ZT08	WAKED2_ZT12	WAKED2_ZT16	WAKED2_ZT20	WAKED2_ZT24	WAKED2_ZT28	WAKED2_ZT32	WAKED2_ZT36	WAKED2_ZT40	WAKED2_ZT44
FBgn0261279	0.451877853755579	0.0324589646464646	24	10	138.520997629229	2267.36505341084	2440.75543298081	2626.06901804868	2532.75881116399	2364.69962183254	2328.33839052498	2184.05367498321	2380.05446353519	2640.8037862775	2230.70451188488	2364.28956170745	2214.47157429174
FBgn0262117	0.451877853755579	0.0324589646464646	28	10	137.020636067596	2371.00992154507	2547.90169082744	2888.75957926795	2449.19324550033	2493.26409321076	2220.90439732123	2481.45228815579	2430.25793693735	2542.51725946208	2774.30337837333	2649.45855737711	2482.064933454
FBgn0026533	0.451877853755579	0.0324589646464646	28	10	133.643087501125	3172.38776794381	3393.26750485464	3497.80011610753	3422.06149760935	3376.36901385014	3046.97249632485	3369.47411205006	3424.08179816384	3390.88517513203	3744.55155441646	3577.67795762458	3311.2402742595
FBgn0267013	0.451877853755579	0.0324589646464646	28	8	131.230218402075	33.1236176511479	235.176955782005	465.146344069789	184.669583380185	51.4257885512889	38.8206866198426	18.7830703056368	332.982221544958	437.116395573847	223.070451188488	78.3930705227361	34.5868967624687
FBgn0029768	0.451877853755579	0.0324589646464646	24	4	127.686900537481	1093.07938248788	1102.33522903225	990.527466508327	908.904485798563	765.180267582108	947.044192191043	1121.76669880886	1089.10800462243	858.713865861048	931.26499039854	827.103700587709	824.624433336753
FBgn0037386	0.451877853755579	0.0324589646464646	24	6	127.472640527583	508.6078065144	671.026140242864	527.054310726559	409.574439116946	344.020792377587	321.399172945673	591.666714627558	621.908333777814	461.25694601974	482.958355485755	424.913164862367	348.599512105934
FBgn0033170	0.451877853755579	0.0324589646464646	28	24	126.068647669884	1690.37300400374	1481.88722716692	996.3836255164	1444.34311023608	1521.49401989675	1543.79939813792	1632.04010877866	1558.3567968304	1343.24919981076	1443.46073511774	1408.80300649555	1580.98525464232
FBgn0036597	0.451877853755579	0.0324589646464646	24	14	125.417195454729	151.727538918161	224.280726170483	394.872435972914	403.384397215934	447.759021006912	408.971419506713	152.351570256832	269.459459280997	502.640746784128	422.317844483059	426.049296319218	310.371889368469
FBgn0036770	0.451877853755579	0.0324589646464646	24	0	125.138985897132	1308.91714911794	1269.41074974225	979.651742636192	1068.8139015747	1165.06010614472	1165.52340526085	1229.24760111334	1176.19566256496	954.413905128695	1002.73416408029	1216.79679028769	1288.81699514883
FBgn0034276	0.451877853755579	0.0324589646464646	28	16	122.68405493921	278.879490546762	284.209989033852	194.926435554426	363.149124859358	485.885036657005	455.917366116756	271.311015525865	270.484019962673	334.519056178802	354.097269605026	432.866085060326	506.060910524541
