probe	filter_type	ar_method	period_number	period	amplitude	phase	mean	R_square	R2_adjust	coef_var	pvalue	fdr_BH
FBgn0052425	0	burg	1	21.9340659341	933.109404892	5.65896367237	4219.30848357	0.730133114121	0.670162695036	0.193496725381	0.00275532726026	0.04284176055
FBgn0037012	0	mle	1	22.3016759777	73.7227412678	6.29053911226	367.344776971	0.822096251683	0.78256208539	0.173602744403	0.000422506060753	0.0235276921505
FBgn0037010	0	mle	1	26.4370860927	709.097896524	10.5662022182	2498.36869048	0.909670139453	0.889596837109	0.202011411627	2.00097208026e-05	0.00407772565633
FBgn0037008	0	mle	1	25.106918239	51.9306935055	9.0872430565	301.460197053	0.487404185237	0.373494004178	0.173557926648	0.0494296746294	0.161830985242
FBgn0037007	0	burg	1	21.1216931217	2531.42215044	8.20014386945	8817.17197706	0.626197612935	0.54313041581	0.254227255347	0.0119368384659	0.0783089307028
FBgn0037000	0	burg	1	21.3475935829	51.3019905278	3.48035142528	146.248579342	0.699867641357	0.633171561658	0.353850423625	0.00444536776054	0.0514414610164
FBgn0036995	1	burg	1	24.1939393939	421.749404344	5.11809416748	972.725733445	0.595819097959	0.506001119728	0.423537844536	0.0169664526586	0.0928898462692
FBgn0036992	0	default	1	24	1791.23508951	2.56221720773	5284.041711	0.612464567081	0.526345581988	0.307789888119	0.0140411078669	0.0847526134796
FBgn0029158	0	burg	1	26.6133333333	54.7603498163	5.986384869	818.289149755	0.580230058719	0.486947849545	0.0608733866163	0.0201164348286	0.101720918504
FBgn0028978	0	yule-walker	1	23.2093023256	79.1238708711	8.95712414058	622.729185777	0.528257351089	0.423425651331	0.126594499988	0.0340152083989	0.131370026631
FBgn0001247	0	burg	1	22.6818181818	262.550511862	14.0518096962	2828.26573476	0.565671523905	0.469154084773	0.0872687325828	0.0234521340946	0.109455314559
FBgn0037020	1	yule-walker	1	20.0603015075	87.5526664182	4.96280782791	1029.50224085	0.578041071747	0.484272421024	0.0788963917746	0.0205928194891	0.102791230531
FBgn0040636	1	burg	1	20.4717948718	46.9396713171	9.83660743834	455.724952475	0.562614528169	0.465417756651	0.0979085360456	0.0242041363331	0.11121294102
FBgn0011591	0	default	1	24	135.697174812	14.2457897154	1240.81019436	0.768889981788	0.717532199963	0.0961347139322	0.00137146419228	0.0350965549987
FBgn0052432	0	burg	1	21.3475935829	237.549548752	16.6437483128	2812.32134969	0.545644823093	0.444677006002	0.107998526393	0.0287262981294	0.120226665398
FBgn0037026	1	burg	1	21.9340659341	48.4485580048	20.5023182289	673.248675274	0.706344825062	0.64108811952	0.073326132458	0.0040296698292	0.0496949308882
FBgn0037017	0	mle	1	26.4370860927	41.7407057364	20.2473060705	294.568231887	0.761280795795	0.708232083749	0.123293067662	0.0015866937503	0.0367289355888
FBgn0037061	0	burg	1	22.9425287356	40.6836710272	17.372524144	283.331718665	0.529147617969	0.424513755295	0.139916226902	0.0337272920533	0.130630064076
FBgn0037090	1	burg	1	22.9425287356	314.749223674	5.87524956362	845.331246079	0.697486745389	0.630261577697	0.317281827661	0.00460627472154	0.0517067257613
FBgn0037094	0	default	1	24	423.147850539	4.58847165354	3352.86119249	0.584919452097	0.492679330341	0.121127499435	0.0191247477647	0.098854200804
FBgn0052438	1	burg	1	24.7950310559	75.8413115627	14.7426031463	657.94488114	0.779067298243	0.729971142297	0.0943391891746	0.00111987620224	0.0331388795157
FBgn0037102	0	burg	1	26.972972973	34.8540649426	19.5206030014	488.499855202	0.51015672727	0.401302666664	0.0873269877435	0.0402955572614	0.144659238175
FBgn0037082	0	burg	1	21.9340659341	90.0934796976	13.9631976932	466.548853679	0.605809909665	0.518212111812	0.174245805972	0.0151591782614	0.0879357584708
FBgn0037076	1	burg	1	22.3016759777	59.9658949307	11.8724367614	209.063714599	0.531151187723	0.426962562773	0.292459885287	0.0330862609518	0.129348044246
FBgn0037065	1	mle	2	26.091503268,22.3016759777	7.68123304989,12.4865527617	1.98120288902,14.0349052111	13.162895848	0.818661298404	0.715039183206	0.558184155993	0.00981525523067	0.0715974102073
FBgn0027945	1	yule-walker	1	23.2093023256	977.688444532	4.60867818923	2412.53347398	0.723632545773	0.662217555945	0.343705028448	0.00306683945004	0.0449268193358
FBgn0037063	0	burg	1	26.2631578947	304.644336843	25.4386221413	2415.20479624	0.493882822863	0.381412339055	0.129210974187	0.0466798924708	0.15638335435
FBgn0037110	0	burg	1	22.4269662921	36.9752391403	6.18116032055	544.375061537	0.710310149382	0.645934627022	0.0558482436557	0.00379052843751	0.048929489723
FBgn0043783	1	yule-walker	1	23.6213017751	444.497535023	6.13872835253	1184.0031661	0.694401835442	0.626491132207	0.324664632416	0.00482145743216	0.0522988893378
FBgn0037117	1	mle	1	25.106918239	47.3862783065	14.5400322666	758.281929995	0.67523233162	0.603061738646	0.055274006489	0.00633982898633	0.0591036007675
