WT2U_ZT00	WT2U_ZT04	WT2U_ZT08	WT2U_ZT12	WT2U_ZT16	WT2U_ZT20	WT2U_ZT24	WT2U_ZT28	WT2U_ZT32	WT2U_ZT36	WT2U_ZT40	WT2U_ZT44	WAKED2_ZT00	WAKED2_ZT04	WAKED2_ZT08	WAKED2_ZT12	WAKED2_ZT16	WAKED2_ZT20	WAKED2_ZT24	WAKED2_ZT28	WAKED2_ZT32	WAKED2_ZT36	WAKED2_ZT40	WAKED2_ZT44
FBgn0262741	1.51901545425626	1.42700093434673	1.37233746717736	1.32150792222583	1.24539953928581	1.45237387172738	1.67060462462593	1.29832274519519	1.33127574266502	1.23970817360445	1.2779213177167	1.37105022152662	1.45128447092137	1.52131959420108	2.04739078696563	1.36826284369263	1.41375764526548	1.26588510241085	1.19881173456543	1.05728095341711	1.3132053698186	1.22359780190648	1.33671814128508	1.1680795276228
FBgn0038631	44.202652523009	48.6954002119299	41.2441592227853	34.7971878035253	31.4332321186614	34.8591493058802	41.0765316886701	45.3617387455735	37.5851408210611	33.9511543403979	33.8746508377665	35.2330442969206	33.5428908668796	39.4032960302916	29.7545130251734	47.720121867011	39.1443137993075	34.9012036727506	31.8262985446244	33.6553873674361	31.8638916398223	42.2879334513063	34.5677990195066	32.6554183267643
FBgn0036765	7.51861081604336	8.30230157199313	7.61811385516501	6.949370025713	6.6379576421431	5.70583083234177	6.8225126804758	7.9781337705563	7.73163089669085	8.1663382783219	7.00191784517303	5.39150506623631	6.88628885346535	8.62351368293279	4.74547362104873	9.39428763023702	6.77852622223388	5.47210176623402	7.2281776593362	7.76913685995298	7.7842236011961	8.48730655158667	6.89352879453572	5.33479606328327
FBgn0037213	24.4054159903058	26.5438281830189	24.9605454270904	22.866366964299	21.8118093042591	21.7813238324645	22.2317607586448	25.5318852049608	25.412877587013	23.8598433606096	21.3240316347862	20.1512902070897	20.1139874447235	22.1116833900632	18.5087784718225	19.4406411140144	20.3537395760413	19.7599619740332	19.1880317516802	22.420028110254	21.8456106304805	20.5976157237956	20.5989678935664	19.495792901473
FBgn0027563	34.9979811738241	39.4483294038777	34.9451174699344	33.6177762799938	30.122874290559	30.1875617535266	33.3970061990492	36.4118255868688	37.1617893813105	31.5414438055692	30.3268452563427	29.259670152276	28.9246667620194	33.3925826254984	21.5538192085369	27.2302190685808	28.0289056067259	31.0778174264354	29.3382579849125	34.457032943037	34.9929153687737	30.0988717514314	28.5528767444639	31.3644773382403
FBgn0036875	7.92348408670818	9.4137533260765	7.51816120654933	6.62499404826878	6.12630162168878	6.18168914357609	7.2459001898814	7.0481438679007	7.73747572591918	6.85157997653861	6.41983037946086	5.44871586450969	8.67693599651872	6.8213468000315	6.28501352237759	7.96926035179083	5.29443430709277	5.3157217901574	9.73435423015465	6.92177028746406	5.90071294805664	6.25675534053173	6.51516592020151	5.29599754645939
FBgn0033446	283.348724450754	294.369836761304	257.824091637591	264.333744286807	256.65675686433	240.437853057395	247.113340304027	274.545462658235	280.542571425594	270.020575731925	249.820996557654	230.522594267718	333.10147835137	295.698422129378	240.537322689789	368.439245373537	245.237146598551	260.155139784607	291.245855848879	296.786318349192	257.79024694818	262.355996989705	273.365891705612	233.30028106271
FBgn0001108	20.2508994311891	22.0484164789369	19.9933517800543	20.6153624514803	20.7638639962408	18.4078157374498	18.7166796506029	21.0664501876563	21.0986112945458	21.1619030467253	20.832332637607	17.3944683543463	19.2936128043917	19.4408770191903	17.8543623756059	19.929705841272	19.2501221929085	17.7079460576358	18.7147276066431	18.8401197327982	19.8652088785808	20.110999308852	20.7197393026826	16.710222745915
FBgn0035432	29.136118300312	31.1090833862042	28.5781436428783	29.2062828125722	28.9172012081523	26.7862305590111	28.5856293995731	30.6602083399211	30.5618094107789	31.4706499076077	26.9817265611649	24.9489915210349	29.47634380705	27.7152815798276	25.9440478128155	28.4944236242996	25.3705742214183	24.0329172323001	29.0081394025959	25.7061621655664	26.0525132009584	29.0204109301168	27.3853239484865	24.1189196749791
FBgn0051809	3.46881802310609	4.59108589919112	3.03620702753153	2.96165573916612	2.92682082709157	1.93179474368522	3.26217657491635	4.12474242416497	3.53023842954389	3.53857806078179	2.82332407631918	2.49677734485852	2.73100050359544	3.0063414926248	2.01589277289791	2.6808389339838	2.49133311299651	1.75942104948622	3.23216168284896	2.81256751883108	2.78209497694102	3.78222043138623	3.13319120036672	2.40025951427244
