probe	filter_type	ar_method	period_number	period	amplitude	phase	mean	R_square	R2_adjust	coef_var	pvalue	fdr_BH
FBgn0266064	0	default	1	24	490.244131907	1.82971950184	3515.24032098	0.766348790809	0.714426299877	0.112933233943	0.00144064225298	0.0610551836242
FBgn0266162	0	mle	1	20.2639593909	8.74785348865	15.9293240977	24.0744228757	0.505592976131	0.395724748604	0.369340353913	0.0420127242864	0.304616103872
FBgn0266219	0	yule-walker	1	23.9041916168	11.2708650293	22.7871140285	37.5018154587	0.542909819589	0.441334223943	0.305296752435	0.0295126706856	0.254430566901
FBgn0266251	1	burg	1	23.9041916168	23.163738421	22.8985228095	70.2934786239	0.761947809783	0.709047323068	0.267654122705	0.00156684060246	0.064382337574
FBgn0266268	0	burg	1	20.3673469388	104.022541481	15.4940213804	1070.84733286	0.55270351624	0.453304297627	0.112779550133	0.0267719298711	0.24584999454
FBgn0266331	1	burg	1	22.4269662921	8.36442226059	9.500810812	75.4813522117	0.642642400345	0.563229600422	0.113714703255	0.00974907924542	0.149016539125
FBgn0266369	0	burg	1	21.2340425532	411.016456434	14.4364016757	2370.11976603	0.590930923442	0.500026684206	0.163520924632	0.0179095604321	0.198167242298
FBgn0266572	0	default	1	24	49.097395138	15.845153973	1449.84497817	0.508262052251	0.398986952751	0.0343068430253	0.041001690185	0.300699991265
FBgn0266580	0	burg	1	25.9220779221	232.163213262	13.9948663323	1174.18796058	0.716787458257	0.65385133787	0.173150972863	0.00342378249808	0.0895425991446
FBgn0266590	0	burg	1	20.3673469388	15.7916877275	5.77816168411	64.837090444	0.520013836571	0.413350244697	0.273962050316	0.0367730143843	0.282344769148
FBgn0266680	0	burg	1	22.4269662921	5.11796417786	4.96139389504	26.4269640181	0.63326915418	0.551773410665	0.170174636146	0.0109537665404	0.157688571071
FBgn0266696	1	mle	1	22.8114285714	1269.07699239	21.6150483319	8092.80832061	0.60657853895	0.519151547605	0.148370509474	0.015026616786	0.184060315695
FBgn0266736	0	burg	1	21.9340659341	31.7101124863	6.71138336428	100.428915571	0.663250396638	0.588417151447	0.304581577442	0.00746245830982	0.129484466832
FBgn0266758	0	burg	1	22.0552486188	656.024320579	6.91372351052	3291.10958714	0.746779350177	0.69050809466	0.169543895198	0.00206893113506	0.0726234526041
FBgn0266805	1	mle	2	27.7222222222,23.0751445087	23.8790078233,25.3666532231	0.634006949629,18.4326020967	139.932199489	0.750123589856	0.607337069773	0.138331053567	0.0282747148927	0.25145331406
FBgn0266869	0	burg	1	22.8114285714	12.4800404457	21.1967252804	20.7921045914	0.719088305308	0.656663484265	0.514227018556	0.00330038184169	0.0885174629841
FBgn0267012	0	burg	1	21.8142076503	59.3732173478	9.63314131918	76.9035264598	0.904122492066	0.882816379191	0.586734744032	2.6165275845e-05	0.00716031462981
FBgn0267013	0	burg	1	22.8114285714	52.4373308523	8.89594366765	61.6529712438	0.790665613904	0.744146861438	0.687939171031	0.000878582561807	0.0473148700431
FBgn0267076	0	yule-walker	1	23.7619047619	43.6739608533	23.0721504161	203.031149745	0.601475885521	0.512914971192	0.198790230699	0.0159237637098	0.187368315495
FBgn0267161	0	mle	1	20.4717948718	5523.09782295	14.4696389249	9428.7091643	0.599306153521	0.510263076526	0.535610401273	0.0163176280066	0.189102375288
FBgn0267181	0	yule-walker	1	23.0751445087	17.673942673	21.3121962356	80.8551408917	0.503683709155	0.393391200078	0.246552086233	0.0427477624419	0.307164632949
